Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
2023-10-23,228.35276794433594,33086.234375,1765.3826904296875,0.5468699932098389,229.98146057128906,34370.4375,1794.0704345703125,0.5505380034446716,218.3049774169922,30097.828125,1663.447998046875,0.5218260288238525,218.45591735839844,30140.685546875,1674.8492431640625,0.5235980153083801,611625206,38363572311,14362295879,1699115599
2023-10-24,225.14295959472656,33901.52734375,1784.4375,0.5585319995880127,236.7500762939453,35150.43359375,1852.6844482421875,0.5829730033874512,223.1171417236328,32880.76171875,1758.6900634765625,0.5374550223350525,228.3383026123047,33077.3046875,1766.0146484375,0.5468930006027222,658304834,44934999645,15888690475,2705905445
2023-10-25,222.179931640625,34502.8203125,1787.3975830078125,0.5553060173988342,228.8148193359375,35133.7578125,1814.4847412109375,0.5623769760131836,222.0341796875,33709.109375,1762.1470947265625,0.5422379970550537,225.16864013671875,33916.04296875,1784.905029296875,0.5586199760437012,414309192,25254318008,9439066475,1396455738
2023-10-26,223.2360382080078,34156.6484375,1804.039306640625,0.5536829829216003,227.85787963867188,34832.91015625,1865.09521484375,0.5667750239372253,219.92672729492188,33762.32421875,1764.0130615234375,0.5445520281791687,222.18551635742188,34504.2890625,1787.48193359375,0.5553529858589172,438534864,19427195376,11196672635,1401251370
2023-10-27,224.4759063720703,33909.80078125,1780.0452880859375,0.5461069941520691,229.85179138183594,34238.2109375,1804.1358642578125,0.5575659871101379,220.20350646972656,33416.88671875,1751.4400634765625,0.5394780039787292,223.21908569335938,34156.5,1803.794921875,0.5536850094795227,554008090,16418032871,7493399771,1048891335
2023-10-28,225.77407836914062,34089.57421875,1776.6181640625,0.5453910231590271,227.97061157226562,34399.390625,1800.6053466796875,0.550046980381012,224.3576202392578,33874.8046875,1773.4366455078125,0.5416520237922668,224.4715118408203,33907.72265625,1780.084228515625,0.5457149744033813,244363054,10160330825,4226112731,566792583
2023-10-29,227.14845275878906,34538.48046875,1795.5460205078125,0.5563939809799194,228.14613342285156,34743.26171875,1810.4886474609375,0.5609059929847717,224.25831604003906,33947.56640625,1766.052978515625,0.5421860218048096,225.78799438476562,34089.37109375,1776.56396484375,0.5453720092773438,207847188,11160323986,4358528382,655356620
2023-10-30,228.2874298095703,34502.36328125,1810.088623046875,0.5789440274238586,229.19149780273438,34843.93359375,1829.24951171875,0.583204984664917,225.02120971679688,34110.97265625,1779.364501953125,0.5505980253219604,227.13491821289062,34531.7421875,1795.589111328125,0.5563899874687195,282899321,17184860315,7534051038,1527609944
2023-10-31,226.43994140625,34667.78125,1816.458984375,0.6002820134162903,229.24130249023438,34719.25390625,1819.97265625,0.6127369999885559,224.33131408691406,34083.30859375,1784.567626953125,0.5664929747581482,228.28236389160156,34500.078125,1810.131591796875,0.5789279937744141,319329197,15758270810,6477922747,2218043567
2023-11-01,228.00010681152344,35437.25390625,1847.0897216796875,0.6095380187034607,229.14108276367188,35527.9296875,1858.3128662109375,0.6159060001373291,222.8603973388672,34170.69140625,1786.4095458984375,0.5822619795799255,226.4181671142578,34657.2734375,1815.8720703125,0.6002950072288513,384772000,22446272005,10628825648,1779920317
